W,h,n,classe_log2,N_min,N_max,ciclos,media_especies,desvio,ciclos_usados
4.0,0.01,3,1,1.0,2.433464793793373,6,41.666666666666664,6.282250127674532,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,2,2.433464793793373,5.921750902631823,6,34.333333333333336,4.4121045620731465,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,3,5.921750902631823,14.410372339168667,6,49.666666666666664,8.041558721209878,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,4,14.410372339168667,35.06713375282081,6,50.333333333333336,8.164965809277259,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,5,35.06713375282081,85.33463540673273,6,55.5,6.220932405998316,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,6,85.33463540673273,207.65883095347743,6,68.83333333333333,12.859497138950132,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,7,207.65883095347743,505.3304542455769,6,102.33333333333333,9.811557810392122,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,8,505.3304542455769,1229.7038696382244,6,124.16666666666667,10.943795807061948,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,9,1229.7038696382244,2992.441073556095,6,57.166666666666664,2.48327740429189,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,3,10,2992.441073556095,7282.000000000004,6,2.5,2.345207879911715,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,1,1.0,2.433464793793373,6,44.5,7.231873892705818,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,2,2.433464793793373,5.921750902631823,6,30.333333333333332,7.2571803523590805,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,3,5.921750902631823,14.410372339168667,6,45.333333333333336,8.091147425839345,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,4,14.410372339168667,35.06713375282081,6,51.166666666666664,6.554896388705672,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,5,35.06713375282081,85.33463540673273,6,50.166666666666664,9.32559202767667,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,6,85.33463540673273,207.65883095347743,6,64.83333333333333,8.975893641675277,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,7,207.65883095347743,505.3304542455769,6,90.16666666666667,10.18659249536697,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,8,505.3304542455769,1229.7038696382244,6,145.0,9.2951600308978,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,9,1229.7038696382244,2992.441073556095,6,57.5,2.5099800796022267,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,5,10,2992.441073556095,7282.000000000004,6,0.5,0.8366600265340756,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,10,1,1.0,2.433464793793373,5,44.6,9.181503144910424,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,2,2.433464793793373,5.921750902631823,5,29.0,2.5495097567963922,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,3,5.921750902631823,14.410372339168667,5,46.0,6.123724356957945,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,4,14.410372339168667,35.06713375282081,5,49.2,5.263078946776306,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,5,35.06713375282081,85.33463540673273,5,50.0,9.300537618869138,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,6,85.33463540673273,207.65883095347743,5,60.4,5.224940191045253,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,7,207.65883095347743,505.3304542455769,5,81.2,5.357238094391549,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,8,505.3304542455769,1229.7038696382244,5,123.8,6.572670690061994,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,9,1229.7038696382244,2992.441073556095,5,66.6,5.594640292279746,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,10,10,2992.441073556095,7282.000000000004,5,0.8,1.0954451150103324,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.01,25,1,1.0,2.433464793793373,6,41.166666666666664,6.940220937885671,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,2,2.433464793793373,5.921750902631823,6,27.666666666666668,3.723797345005051,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,3,5.921750902631823,14.410372339168667,6,42.0,2.756809750418044,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,4,14.410372339168667,35.06713375282081,6,45.666666666666664,8.936815241833449,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,5,35.06713375282081,85.33463540673273,6,53.833333333333336,4.875106836436169,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,6,85.33463540673273,207.65883095347743,6,57.166666666666664,4.119061381755152,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,7,207.65883095347743,505.3304542455769,6,70.16666666666667,8.750238091998792,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,8,505.3304542455769,1229.7038696382244,6,98.5,10.134100848126586,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,9,1229.7038696382244,2992.441073556095,6,66.66666666666667,11.272385136547928,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,10,2992.441073556095,7282.000000000004,6,5.666666666666667,3.141125063837266,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,1,1.0,2.433464793793373,6,40.5,5.683308895353129,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,2,2.433464793793373,5.921750902631823,6,29.166666666666668,2.9944392908634274,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,3,5.921750902631823,14.410372339168667,6,40.5,6.892024376045111,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,4,14.410372339168667,35.06713375282081,6,47.833333333333336,5.23131595936115,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,5,35.06713375282081,85.33463540673273,6,51.333333333333336,5.680375574437544,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,6,85.33463540673273,207.65883095347743,6,60.333333333333336,12.060956291549466,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,7,207.65883095347743,505.3304542455769,6,68.16666666666667,6.997618642557385,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,8,505.3304542455769,1229.7038696382244,6,75.16666666666667,14.688998150543375,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,9,1229.7038696382244,2992.441073556095,6,58.833333333333336,8.750238091998792,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,10,2992.441073556095,7282.000000000004,6,12.833333333333334,2.316606713852541,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,75,1,1.0,2.433464793793373,4,44.75,9.394147114027968,ciclo_001;ciclo_002;ciclo_003;ciclo_004
